algo,taille,serie,temps,hauteur
vorace,5000,4,0.001068 ,1438705
vorace,5000,4,0.001095 ,1513529
vorace,5000,4,0.001051 ,1509953
vorace,5000,4,0.001079 ,1445199
vorace,5000,4,0.001033 ,1445598
vorace,5000,4,0.001038 ,1539092
vorace,5000,4,0.001062 ,1478443
vorace,5000,4,0.001079 ,1582054
vorace,5000,4,0.001038 ,1484403
vorace,5000,4,0.001036 ,1432154
vorace,10000,1,0.002267 ,4387418
vorace,10000,1,0.002217 ,4355049
vorace,10000,1,0.002707 ,4168275
vorace,10000,1,0.002192 ,4368505
vorace,10000,1,0.002475 ,4085114
vorace,10000,1,0.002273 ,4049895
vorace,10000,1,0.002714 ,4409797
vorace,10000,1,0.002202 ,4347128
vorace,10000,1,0.002534 ,4260062
vorace,10000,1,0.002224 ,4146315
